Crash Time of Day,Collision Type,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Driver At Fault,Driver Distracted By,Vehicle First Impact Location,Vehicle Second Impact Location,Vehicle Body Type,Vehicle Movement,Speed Limit,Parked Vehicle
4,0,0,0,2,0,1,1,2,2,0,3,55,0
0,0,0,0,2,0,0,0,0,0,0,0,35,0
5,0,0,0,2,0,0,0,0,0,0,3,35,0
0,0,0,0,1,0,0,0,0,0,0,0,40,0
3,1,0,0,2,0,0,0,13,13,0,1,35,0
0,2,0,0,2,0,0,0,7,7,0,1,40,0
2,10,0,2,3,0,1,1,6,6,0,12,35,0
5,3,0,0,1,0,0,0,2,2,0,1,35,0
5,4,0,0,2,0,1,1,5,5,0,5,35,0
1,1,0,2,2,0,1,1,2,2,0,1,45,0
1,3,0,2,1,0,0,0,11,9,5,1,25,0
5,0,0,0,1,0,0,0,0,0,4,3,55,0
5,0,0,0,1,0,0,0,0,0,0,0,45,0
0,0,0,0,2,0,1,0,2,2,8,3,45,0
5,0,0,0,1,0,0,0,0,0,0,0,50,0
0,0,0,0,2,1,1,1,2,2,4,1,30,0
2,0,0,2,1,0,0,0,0,0,0,0,35,0
2,9,0,2,2,0,0,0,1,1,0,3,35,0
4,0,0,0,2,0,1,0,2,2,0,1,35,0
3,0,0,2,1,0,1,1,2,2,0,1,35,0
0,0,0,0,2,0,1,1,0,0,0,3,40,0
0,0,0,0,1,0,0,0,0,0,0,3,35,0
4,3,0,0,1,0,1,0,3,3,0,1,25,0
0,3,0,0,2,0,1,1,4,4,0,2,20,0
5,3,0,0,1,0,0,0,2,2,0,1,40,0
3,3,0,2,1,0,0,0,9,10,0,1,35,0
4,2,0,0,2,0,1,0,4,4,8,1,35,0
4,0,0,0,1,0,1,1,2,2,4,3,45,0
2,1,0,4,2,0,1,0,2,2,4,1,35,0
4,0,0,0,1,0,0,0,0,0,0,0,40,0
5,0,0,0,1,0,0,0,0,0,0,0,45,0
0,3,0,0,0,0,1,1,2,2,11,16,40,0
0,3,0,0,1,0,1,1,1,1,0,5,45,0
1,6,1,0,2,0,0,0,3,3,13,1,25,0
5,4,0,0,1,0,1,1,5,5,0,5,45,0
4,0,0,0,2,0,1,1,2,2,0,1,40,0
5,0,0,0,1,0,1,1,2,2,0,1,50,0
4,3,0,0,2,0,1,1,4,4,0,5,45,0
0,0,0,0,1,0,1,1,2,2,0,1,35,0
0,3,1,0,1,0,1,0,2,2,4,1,40,0
4,0,1,0,1,0,0,0,0,0,0,1,55,0
0,3,0,0,1,0,0,0,2,2,0,5,35,0
1,3,0,1,1,0,0,0,3,3,0,1,35,0
4,0,0,0,1,0,1,1,2,2,0,1,40,0
0,1,0,0,2,0,1,0,5,5,3,1,30,0
